#名前,職,index
グレッグ,F,1
メフラム,F,2
エディ,F,3
ジャンダル,F,4
カルロ,F,5
ローデル,F,6
エイダル,F,7
ダスティ,F,8
リョータ,F,9
アザミ,F,10
ヨヨ,F,11
ハルカ,F,12
ライオ,F,13
マルガ,F,14
メア,F,15
リンダ,F,16
デンガル,F,17
セミマル,F,18
インドウ,F,19
カンベエ,F,20
トルナド,F,21
ディエス,F,22
ジェアダ,F,23
ハルアキ,F,24
バイセツ,F,25
ドドガル,F,26
フランツ,F,27
マレイカ,F,28
アイダ,F,29
ジグムント,F,30
リュビア,F,31
マディーナ,F,32
イヌチヨ,F,33
アイアリス,F,34
サナ,F,35
主人公,F,36
オグマ,F,37
サコン,F,38
ヨシカゲ,F,39
ナズナ,F,40
トウカ,F,41
ヴォルグ,F,42
エルダ,F,43
アンジェリカ,F,44
ベルナデット,F,45
ハサン,F,46
アイナ,F,47
アミル,F,48
イオ,F,49
レイジ,F,50
キキョウ,F,51
フィーンド,F,52
ソウジロウ＝セタ,F,53
イブキ,F,54
ヒロチ,F,55
ヨシツグ,F,56
オリョウ,F,57
カミナヅキ,F,58
テレサ,F,59
チヨメ,F,60
ヨシノ,F,61
ソーニャ,F,62
ボクデン,F,63
サプラス,F,64
ミーム,F,65
セリーヌ,F,66
コロパティロン,F,67
ヨルデ,F,68
キキ,F,69
ロレッタ,F,70
ニンファ,F,71
リンセ,F,72
フーコ,F,73
スルスタン,F,74
サクヤ,F,75
勇者,F,76
にゃん太,F,77
アカツキ,F,78
カノ,F,79
シェラザード,F,80
ルーク,F,81
主人公,F,82
ルーラ,F,83
ライア,F,84
ペイシェ,F,85
トゥバラオ,F,86
ヘリデ,F,87
ボルサ,F,88
トルトゥガ,F,89
シェアラ,F,90
モアネット,F,91
マリーダ,F,92
アグダラ,F,93
アンジェリカ,F,94
ベルナデット,F,95
トウカ,F,96
ロレッタ,F,97
ソーニャ,F,98
ツル,F,99
範馬刃牙,F,100
リンリー,F,101
キオラ,F,102
グローリア,F,103
ニウ,F,104
ロッタ,F,105
ガイ,F,106
レン,F,107
メイビア,F,108
ガスパール,F,109
ディラン,F,110
ドミニック,F,111
アーネスト,F,112
ブロッサム,F,113
リネイア,F,114
ロジー,F,115
シャルロッテ,F,116
アウィン,F,117
キャン,F,118
ジェノサイダー翔,F,119
苗木誠,F,120
召使い,F,121
モノクマ,F,122
バリキ,F,123
ムニール ,F,124
タリシュガ,F,125
リィン,F,126
フィー,F,127
ユギギ,F,128
テリリア,F,129
シェギギム,F,130
グララオ,F,131
チロルル,F,132
オウララ,F,133
キココナ,F,134
ディシシヤ,F,135
レジジ,F,136
リジジ,F,137
ラミミス,F,138
ネジジア,F,139
ゼシシラ,F,140
ジルルア,F,141
リンセ,F,142
ギン,F,143
ドルテ,F,144
ツガル,F,145
シドウ,F,146
ハンフ,F,149
ロッソ＝ロッソ,F,150
ゾーイ,F,147
ヴァリー,F,148
イラリオン,F,151
ハーディー,F,152
チョコロロ,F,153
バン,F,154
ディアンヌ,F,155
ホーク,F,156
ハルアキ,F,157
トウカ,F,158
ラファーガ,F,159
カスガ,F,160
マレーナ,F,161
バラクーダ,F,162
ルチア,F,163
グリダ,F,164
オルガ,F,165
キリ,F,166
ジリ,F,167
コト,F,168
ルト,F,169
シュレン,F,170
マトイ,F,171
ハヤテ,F,172
ロレッタ,F,173
ニンファ,F,174
ガルルア,F,175
シャロララ,F,176
フォリリネ,F,177
ザリリオ,F,178
アスルトル,F,179
ヴァルガス,F,180
セリア,F,181
イビサム,F,182
ツヅミ,F,183
ロザリア,F,184
フーコ,F,185
ベッツィー,F,186
ジーナス,F,187
ゼスト,F,188
ベアトリス,F,189
ユーマ,F,190
アグナム,F,191
アルトルム,F,192
アリーナ,F,193
クルト,F,194
ミシマ,F,195
ムラクモ,F,196
キョウカ,F,197
ミミ,F,198
リュドミラ,F,199
リンセ,F,200
アギーラ,F,201
サクヤ,F,202
ケヴィン,F,203
ホークアイ,F,204
ランディ,F,205
プリム,F,206
デュラン,F,207
ダスティ,F,208
セラフィー,F,209
クライン,F,210
ミョルン,F,211
シュザ,F,212
マカコ,F,213
ヨシュア,F,214
ヨシュア,F,215
レーヴェ,F,216
アネラス,F,217
イムカ,F,218
ラベゼリン,F,219
スーリヤ,F,220
スカレット,F,221
ソーマ,F,222
クライド,F,223
チウウェン,F,224
ハハブ,F,225
コモディア,F,226
シース,F,227
カラミティ,F,228
ブリジット,F,229
キャロ,F,230
パウラ,F,231
グレリア,F,232
カワード,F,233
ディエゴ,F,234
ハク,F,235
アトゥイ,F,236
オウギ,F,237
チドリ,F,238
トウアン,F,239
ベレ,F,240
マイラ,F,241
,,
,,
,,
,,
セルバンテス,K,1
ベアトリクス,K,2
アントン,K,3
